Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
SPSB1	3.4477300000000004	3.64278	3.46101	3.4802800000000005	3.4562199999999996	3.50421	3.39267	3.67964	4.44091	3.57136	3.80816	4.41245	3.6059400000000004	3.9720400000000002	3.7722300000000004	3.58647	3.57075	3.8963400000000004	4.28284	3.3927199999999997	3.88944
SLC25A33	3.7532400000000004	3.8665599999999998	3.6578699999999995	3.86274	3.80025	3.9418900000000003	3.9685900000000003	3.57418	3.95321	3.8416099999999997	3.6381	4.64119	3.9720400000000002	4.53615	3.79927	3.6508	3.7402900000000003	3.49551	4.62365	3.88445	4.057180000000001
TMEM201	4.2236	4.10295	3.9168199999999995	4.00323	4.07552	4.02831	4.087619999999999	3.96254	3.52696	4.00783	3.93835	4.1319	3.96305	3.90032	4.0071900000000005	3.83061	4.15333	4.16929	3.8645699999999996	4.05854	4.03638
PIK3CD	7.581989999999999	7.62847	7.777589999999999	7.64383	7.49229	7.42121	7.311489999999999	7.69022	7.575760000000001	7.70185	7.664839999999999	6.03554	7.6372100000000005	7.07435	7.649780000000001	7.68002	7.82304	7.3181	6.943160000000001	6.94326	7.60893
NMNAT1	3.76409	3.8096099999999997	3.41566	3.93645	3.32994	3.72229	3.42182	3.8304300000000002	3.92884	3.87865	3.99234	2.78741	4.15929	3.85535	4.1742099999999995	4.23997	4.07672	3.7370900000000002	3.9742900000000003	3.94153	3.9210300000000005
RN7SKP269	6.21191	5.50673	5.75092	5.6759900000000005	5.55486	5.538819999999999	5.60949	5.95324	5.95955	6.1788300000000005	5.74935	5.22999	6.47794	5.93487	6.09475	5.79673	6.011340000000001	5.54689	5.4341099999999996	5.72534	5.72426
RBP7	4.51762	4.29055	3.66698	4.15335	3.75705	3.50296	3.5896800000000004	3.55033	4.00609	4.862509999999999	2.21157	2.9856599999999998	4.04521	4.87542	3.75881	5.06047	5.1262	3.59216	2.7098400000000002	3.91506	4.89537
UBE4B	7.3910800000000005	7.41677	7.3552800000000005	7.23032	7.130839999999999	7.0357	7.094589999999999	6.753419999999999	6.967910000000001	7.3597399999999995	6.94725	6.43104	7.0371	6.98765	6.93905	7.2834699999999994	7.313680000000001	6.96824	6.71785	6.89279	7.28343
RNU6-828P	3.00599	2.2405	2.58221	2.58671	2.80028	2.79529	2.6277	2.3788	2.16072	2.78804	2.96936	2.24864	2.9493099999999997	2.51189	2.4704200000000003	2.89858	3.0206	2.483	2.3113	2.72927	2.05261
KIF1B	6.12106	5.9227	6.492780000000001	6.35952	5.87673	5.62194	6.08153	7.9932300000000005	6.693910000000001	6.953180000000001	7.602869999999999	5.09978	7.1701	6.31922	7.51055	6.7095	7.3907	6.1795800000000005	6.055	6.60682	6.4977
